Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
5/17/2021,"2,026,574",-63.70%,"1,157,960",-49.00%,"98,500",-69%,"77,300",-73%,"20,779",-24.70%,"810,018",-16.20%
5/16/2021,"1,201,918",-54.20%,"621,750",-44.30%,"49,200",-50%,"56,800",-45%,"11,062",-40.80%,"814,177",-14.10%
5/15/2021,"1,637,242",-51.90%,"844,096",-40.80%,"63,100",-47%,"91,100",-40%,"13,516",-23.40%,"891,574",-10.40%
5/14/2021,"2,270,937",-60.40%,"1,220,112",-45.50%,"104,900",-67%,"85,700",-70%,"22,437",-21.50%,"947,064",-10.20%
5/13/2021,"2,167,164",-63.40%,"1,182,347",-49.20%,"103,000",-68%,"80,000",-72%,"23,439",-22.20%,"918,259",-10.00%
05/12/2021,"2,186,470",-62.90%,"1,238,990",-47.40%,"98,900",-69%,"77,900",-73%,"23,946",-25.10%,"887,381",-9.30%
05/11/2021,"2,152,549",-62.70%,"1,231,886",-46.70%,"97,400",-70%,"75,400",-74%,"22,751",-23.10%,"873,176",-6.90%
05/10/2021,"1,993,889",-63.40%,"1,149,109",-45.90%,"96,800",-70%,"73,300",-74%,"20,751",-21.20%,"844,563",-6.70%
05/09/2021,"1,108,734",-46.50%,"576,000",-30.90%,"54,100",-45%,"59,300",-43%,"13,897",-29.10%,"854,809",0.30%
05/08/2021,"1,444,674",-55.10%,"779,188",-45.70%,"56,300",-52%,"78,700",-48%,"13,339",-26.50%,"854,156",-13.90%
05/07/2021,"2,241,860",-60.20%,"1,222,741",-45.90%,"101,600",-68%,"83,100",-71%,"22,730",-20.20%,"936,747",-8.10%
05/06/2021,"2,204,111",-62.60%,"1,258,536",-46.80%,"94,200",-70%,"76,000",-73%,"23,792",-22.80%,"905,604",-8.30%
05/05/2021,"2,078,394",-64.60%,"1,158,445",-51.60%,"92,000",-71%,"70,300",-75%,"23,236",-27.10%,"841,968",-12.50%
05/04/2021,"2,124,252",-63.50%,"1,227,250",-48.10%,"93,100",-71%,"72,300",-75%,"22,962",-25.80%,"851,039",-9.10%
05/03/2021,"1,974,754",-65.00%,"1,165,505",-48.90%,"91,100",-71%,"67,100",-77%,"21,492",-24.10%,"828,506",-10.70%
05/02/2021,"1,153,471",-50.50%,"620,063",-26.20%,"41,800",-57%,"51,300",-51%,"11,541",-34.10%,"809,865",1.60%
05/01/2021,"1,515,211",-53.10%,"818,655",-41.00%,"51,100",-57%,"76,300",-49%,"13,263",-24.60%,"849,633",-9.10%
4/30/2021,"2,163,175",-62.30%,"1,185,321",-46.90%,"93,500",-70%,"77,700",-73%,"22,322",-22.20%,"922,720",-8.70%
4/29/2021,"2,032,405",-65.50%,"1,166,096",-50.30%,"88,700",-71%,"69,000",-76%,"22,201",-25.10%,"873,037",-11.20%
4/28/2021,"2,139,820",-63.20%,"1,227,777",-47.80%,"92,100",-70%,"72,900",-75%,"24,411",-20.80%,"888,723",-6.70%
4/27/2021,"2,045,718",-64.50%,"1,198,299",-47.60%,"89,000",-71%,"69,300",-76%,"22,603",-23.70%,"839,788",-9.60%
4/26/2021,"1,959,131",-64.80%,"1,156,913",-48.50%,"89,300",-71%,"68,600",-76%,"21,083",-22.60%,"826,605",-8.70%
4/25/2021,"985,027",-59.30%,"540,989",-45.50%,"34,100",-63%,"37,100",-64%,"9,777",-44.00%,"695,863",-16.90%
4/24/2021,"1,520,057",-53.50%,"809,163",-39.50%,"51,600",-55%,"78,900",-47%,"13,351",-18.60%,"854,964",-7.30%
4/23/2021,"2,125,087",-57.90%,"1,184,193",-32.30%,"92,800",-70%,"76,100",-73%,"22,035",-13.20%,"920,588",2.00%
4/22/2021,"2,044,069",-62.60%,"1,166,357",-41.00%,"86,600",-72%,"67,600",-76%,"21,832",-22.00%,"871,573",-7.50%
4/21/2021,"1,969,710",-63.80%,"1,139,762",-43.50%,"83,500",-73%,"66,000",-77%,"22,379",-23.70%,"828,447",-12.00%
4/20/2021,"2,086,630",-61.60%,"1,223,642",-39.60%,"90,000",-71%,"72,000",-75%,"23,528",-15.00%,"860,511",-7.60%
4/19/2021,"1,914,960",-61.30%,"1,147,977",-36.80%,"87,200",-72%,"67,400",-77%,"21,274",-10.90%,"816,540",-11.20%
4/18/2021,"1,082,503",-56.30%,"607,333",-38.60%,"38,300",-58%,"48,200",-53%,"10,865",-41.70%,"753,446",-14.40%
4/17/2021,"1,425,036",-56.60%,"803,352",-42.70%,"49,900",-56%,"72,600",-51%,"13,313",-24.60%,"813,162",-3.70%
4/16/2021,"2,082,447",-63.60%,"1,157,507",-48.20%,"87,200",-72%,"73,600",-74%,"21,632",-25.70%,"889,711",-7.80%
4/15/2021,"1,910,326",-67.60%,"1,083,083",-51.90%,"81,800",-74%,"63,800",-78%,"21,198",-28.50%,"822,207",-17.80%
4/14/2021,"2,021,936",-66.20%,"1,199,954",-48.70%,"86,700",-72%,"69,900",-76%,"23,462",-25.30%,"852,606",-11.90%
4/13/2021,"2,016,030",-66.00%,"1,196,355",-49.10%,"87,200",-72%,"67,600",-76%,"22,728",-24.50%,"832,482",-12.00%
04/12/2021,"1,849,254",-66.70%,"1,087,799",-50.40%,"83,100",-73%,"63,900",-78%,"21,192",-24.20%,"793,402",-12.70%
04/11/2021,"900,666",-63.60%,"504,407",-49.00%,"32,000",-65%,"35,600",-65%,"9,742",-47.70%,"666,435",-21.80%
04/10/2021,"1,392,745",-57.60%,"790,023",-43.60%,"46,000",-60%,"66,800",-55%,"12,713",-28.00%,"822,112",-13.20%
04/09/2021,"2,030,410",-64.50%,"1,144,311",-48.80%,"87,100",-72%,"71,000",-75%,"21,978",-24.50%,"895,229",-10.60%
04/08/2021,"2,017,306",-65.40%,"1,177,833",-49.70%,"86,700",-72%,"68,000",-76%,"22,579",-28.10%,"877,834",-9.70%
04/07/2021,"1,989,179",-66.10%,"1,172,362",-50.10%,"85,500",-72%,"66,700",-77%,"23,469",-26.60%,"858,593",-9.70%
04/06/2021,"1,946,071",-66.20%,"1,155,101",-50.10%,"85,800",-72%,"66,200",-77%,"21,695",-28.30%,"840,351",-8.10%
04/05/2021,"1,822,134",-67.20%,"1,088,750",-52.40%,"87,000",-72%,"67,700",-76%,"19,970",-29.50%,"832,239",-8.60%
04/04/2021,"951,260",-59.40%,"519,812",-47.80%,"40,900",-55%,"47,700",-54%,"11,632",-39.90%,"749,910",-16.10%
04/03/2021,"1,319,964",-53.40%,"750,682",-37.20%,"47,700",-58%,"68,800",-54%,"12,735",-13.90%,"779,701",-16.80%
04/02/2021,"1,760,768",-63.00%,"958,085",-45.70%,"79,800",-74%,"66,800",-77%,"18,839",-23.00%,"845,252",-13.20%
04/01/2021,"1,845,249",-68.80%,"1,030,209",-56.40%,"77,300",-75%,"55,500",-81%,"20,490",-34.80%,"856,466",-12.20%
3/31/2021,"1,812,072",-69.20%,"995,873",-58.10%,"84,900",-73%,"61,600",-78%,"20,374",-36.90%,"833,052",-10.80%
3/30/2021,"1,885,343",-67.30%,"1,079,381",-54.00%,"91,300",-71%,"65,600",-76%,"21,019",-29.70%,"842,154",-7.10%
3/29/2021,"1,745,540",-68.60%,"1,002,597",-56.30%,"86,500",-72%,"62,400",-77%,"18,543",-35.00%,"763,647",-14.90%
3/28/2021,"807,247",-64.30%,"459,949",-53.50%,"28,300",-67%,"29,900",-68%,"9,104",-47.80%,"601,860",-26.30%
3/27/2021,"1,374,266",-57.70%,"781,981",-44.10%,"47,500",-56%,"63,600",-53%,"12,900",-25.30%,"841,595",-9.40%
3/26/2021,"1,941,782",-65.30%,"1,091,753",-51.00%,"84,400",-73%,"64,500",-77%,"20,805",-27.30%,"865,970",-12.20%
3/25/2021,"1,929,515",-66.70%,"1,127,964",-51.60%,"83,600",-73%,"61,200",-78%,"21,763",-28.70%,"847,633",-12.40%
3/24/2021,"1,831,662",-68.00%,"1,075,968",-53.40%,"79,600",-75%,"56,500",-80%,"21,651",-31.20%,"794,315",-14.20%
3/23/2021,"1,883,301",-66.90%,"1,133,504",-51.70%,"83,100",-73%,"58,700",-79%,"21,590",-28.80%,"810,243",-10.50%
3/22/2021,"1,805,084",-66.70%,"1,095,241",-51.50%,"84,200",-73%,"61,100",-78%,"20,427",-28.30%,"788,542",-11.30%
3/21/2021,"1,013,386",-58.10%,"579,358",-46.20%,"34,700",-60%,"37,600",-60%,"10,358",-43.90%,"735,673",-15.60%
3/20/2021,"1,307,403",-56.80%,"768,908",-42.10%,"41,700",-61%,"54,900",-60%,"12,558",-23.90%,"787,777",-11.00%
3/19/2021,"1,910,080",-65.30%,"1,083,647",-49.40%,"80,000",-74%,"60,700",-78%,"20,357",-27.60%,"863,187",-10.40%
3/18/2021,"1,774,375",-68.10%,"1,019,472",-53.30%,"76,500",-76%,"55,400",-80%,"20,264",-30.70%,"799,478",-13.00%
3/17/2021,"1,869,879",-67.20%,"1,103,979",-52.90%,"81,400",-74%,"58,400",-79%,"22,323",-30.00%,"808,876",-12.40%
3/16/2021,"1,801,682",-68.00%,"1,062,179",-54.40%,"77,700",-75%,"56,400",-80%,"20,903",-31.70%,"786,996",-13.40%
3/15/2021,"1,733,288",-67.90%,"1,023,990",-54.50%,"79,300",-75%,"55,800",-80%,"19,986",-28.60%,"774,146",-13.30%
3/14/2021,"923,968",-62.10%,"531,754",-48.40%,"30,400",-65%,"31,800",-66%,"9,732",-46.70%,"673,170",-20.20%
3/13/2021,"1,257,372",-60.60%,"730,218",-46.10%,"38,500",-64%,"52,300",-61%,"11,932",-29.50%,"776,744",-14.20%
03/12/2021,"1,917,972",-66.00%,"1,092,388",-51.00%,"82,400",-74%,"63,200",-77%,"21,724",-25.20%,"873,014",-12.50%
03/11/2021,"1,885,584",-67.60%,"1,107,502",-53.00%,"80,400",-74%,"59,000",-79%,"22,617",-27.70%,"836,773",-13.30%
03/10/2021,"1,852,702",-68.00%,"1,104,610",-53.00%,"78,100",-75%,"58,100",-79%,"22,774",-28.90%,"804,700",-13.40%
03/09/2021,"1,837,670",-68.10%,"1,101,988",-52.70%,"79,300",-75%,"57,700",-79%,"22,200",-27.60%,"791,512",-12.80%
03/08/2021,"1,722,930",-69.00%,"1,039,763",-54.60%,"79,400",-75%,"56,100",-80%,"20,685",-28.20%,"767,707",-15.00%
03/07/2021,"894,177",-57.70%,"525,930",-41.40%,"29,300",-66%,"30,700",-67%,"9,843",-42.70%,"662,461",-13.90%
03/06/2021,"1,167,887",-62.50%,"696,719",-49.00%,"37,200",-66%,"45,300",-67%,"11,951",-31.60%,"728,236",-18.70%
03/05/2021,"1,829,185",-67.80%,"1,041,408",-53.10%,"79,100",-75%,"58,600",-79%,"21,842",-24.70%,"846,071",-14.10%
03/04/2021,"1,812,200",-68.60%,"1,078,036",-52.40%,"78,600",-75%,"55,100",-80%,"21,727",-30.00%,"807,284",-13.90%
03/03/2021,"1,850,000",-67.50%,"1,119,137",-50.00%,"78,800",-75%,"55,500",-80%,"22,823",-27.60%,"798,577",-11.90%
03/02/2021,"1,752,983",-69.40%,"1,024,511",-55.30%,"75,300",-76%,"51,600",-81%,"20,640",-32.70%,"763,489",-14.90%
03/01/2021,"1,699,607",-60.60%,"1,020,837",-35.50%,"74,400",-76%,"51,300",-81%,"20,359",-14.00%,"747,909",9.00%
2/28/2021,"811,043",-63.90%,"491,545",-49.80%,"23,800",-70%,"27,700",-70%,"8,910",-46.90%,"619,960",-21.20%
2/27/2021,"1,074,256",-62.30%,"635,820",-49.20%,"28,800",-71%,"38,900",-70%,"11,319",-37.30%,"681,969",-19.00%
2/26/2021,"1,826,171",-66.90%,"1,065,376",-50.50%,"76,700",-75%,"56,500",-79%,"21,911",-31.30%,"851,052",-11.50%
2/25/2021,"1,801,708",-68.30%,"1,069,420",-51.80%,"75,000",-75%,"53,400",-80%,"22,138",-32.00%,"814,611",-12.10%
2/24/2021,"1,809,852",-67.80%,"1,099,351",-51.10%,"74,800",-76%,"53,500",-80%,"23,223",-30.50%,"797,488",-10.30%
2/23/2021,"1,733,604",-68.90%,"1,040,398",-53.20%,"73,500",-76%,"51,600",-81%,"20,852",-35.00%,"759,850",-13.00%
2/22/2021,"1,585,133",-70.70%,"927,414",-58.30%,"69,700",-77%,"48,900",-82%,"19,015",-37.20%,"691,608",-19.60%
2/21/2021,"837,051",-63.20%,"516,715",-48.90%,"25,200",-68%,"27,300",-70%,"9,195",-54.20%,"605,395",-23.90%
2/20/2021,"1,111,970",-62.00%,"679,240",-46.10%,"30,900",-69%,"41,200",-69%,"10,578",-39.80%,"657,045",-21.00%
2/19/2021,"1,568,728",-69.70%,"809,308",-57.00%,"64,100",-79%,"48,700",-82%,"14,172",-52.50%,"608,152",-34.60%
2/18/2021,"1,384,407",-74.20%,"725,951",-63.50%,"58,000",-81%,"43,000",-84%,"15,843",-49.80%,"456,327",-49.70%
2/17/2021,"1,736,509",-67.60%,"1,061,711",-47.80%,"74,200",-76%,"53,700",-80%,"22,336",-32.00%,"821,333",-6.90%
2/16/2021,"1,630,739",-68.30%,"963,223",-50.40%,"72,700",-76%,"49,900",-81%,"19,126",-38.50%,"726,224",-15.30%
2/15/2021,"1,220,357",-61.90%,"726,412",-46.70%,"65,700",-79%,"30,000",-67%,"11,437",-30.00%,"641,883",-18.80%
2/14/2021,"858,877",-63.20%,"479,319",-50.60%,"23,400",-71%,"28,200",-69%,"7,835",-59.50%,"551,288",-27.20%
2/13/2021,"1,093,261",-60.70%,"656,637",-42.10%,"29,300",-70%,"40,800",-69%,"11,669",-29.00%,"666,722",-19.00%
02/12/2021,"1,709,253",-69.20%,"965,421",-54.20%,"72,100",-76%,"53,700",-80%,"20,165",-34.80%,"803,912",-17.80%
02/11/2021,"1,717,804",-69.70%,"1,005,348",-54.50%,"70,200",-77%,"50,500",-81%,"20,144",-38.80%,"755,367",-17.50%
02/10/2021,"1,753,405",-68.50%,"1,052,021",-53.60%,"71,300",-77%,"50,100",-81%,"22,169",-35.20%,"769,088",-12.60%
02/09/2021,"1,669,590",-70.20%,"992,290",-55.50%,"69,500",-77%,"47,600",-82%,"19,386",-41.00%,"682,085",-20.80%
02/08/2021,"1,642,828",-69.50%,"964,007",-55.10%,"71,000",-77%,"50,900",-81%,"17,786",-40.90%,"701,146",-17.10%
02/07/2021,"653,257",-71.00%,"367,095",-63.00%,"17,100",-78%,"19,400",-79%,"7,115",-63.70%,"340,122",-55.60%
02/06/2021,"1,149,757",-61.40%,"715,717",-44.30%,"29,200",-70%,"40,300",-69%,"12,020",-33.60%,"689,415",-17.00%
02/05/2021,"1,744,130",-68.40%,"1,001,775",-52.50%,"68,900",-77%,"51,300",-81%,"20,136",-34.60%,"766,091",-16.30%
02/04/2021,"1,789,214",-68.40%,"1,033,791",-52.80%,"71,300",-77%,"51,000",-81%,"20,328",-36.70%,"742,193",-16.10%
02/03/2021,"1,705,655",-70.00%,"949,695",-58.50%,"69,100",-77%,"49,700",-82%,"16,869",-49.90%,"656,614",-25.10%
02/02/2021,"1,007,502",-82.00%,"543,073",-76.00%,"22,800",-93%,"30,600",-89%,"8,155",-74.80%,"311,607",-63.60%
02/01/2021,"584,184",-89.10%,"337,228",-84.60%,"8,600",-97%,"16,700",-94%,"12,202",-59.50%,"156,759",-81.70%
1/31/2021,"723,473",-67.70%,"427,945",-55.90%,"23,100",-72%,"28,400",-74%,"8,616",-56.40%,"573,512",-18.50%
1/30/2021,"943,426",-67.20%,"566,837",-54.70%,"26,600",-73%,"40,800",-74%,"10,284",-39.10%,"652,550",-17.40%
1/29/2021,"1,514,326",-72.00%,"812,264",-61.70%,"65,100",-78%,"49,700",-82%,"19,047",-38.90%,"780,131",-16.40%
1/28/2021,"1,650,014",-70.80%,"950,205",-56.80%,"70,000",-77%,"52,000",-81%,"20,139",-36.20%,"768,600",-10.90%
1/27/2021,"1,663,376",-70.50%,"1,004,792",-54.90%,"70,400",-77%,"50,500",-82%,"19,841",-39.10%,"740,154",-15.20%
1/26/2021,"1,553,918",-72.20%,"911,579",-59.20%,"68,200",-77%,"49,300",-82%,"18,115",-42.60%,"653,068",-23.60%
1/25/2021,"1,595,694",-69.60%,"978,987",-53.30%,"73,100",-76%,"52,100",-81%,"19,991",-32.50%,"727,393",-13.80%
1/24/2021,"741,960",-68.20%,"458,203",-54.30%,"24,000",-71%,"29,000",-73%,"8,317",-55.00%,"560,522",-26.70%
1/23/2021,"998,665",-61.70%,"619,673",-39.90%,"27,900",-71%,"42,700",-73%,"10,536",-34.30%,"640,381",-14.00%
1/22/2021,"1,675,175",-68.60%,"1,018,584",-50.80%,"71,300",-76%,"54,000",-81%,"20,375",-33.10%,"787,474",-15.20%
1/21/2021,"1,656,100",-69.60%,"1,007,042",-52.70%,"71,200",-76%,"52,000",-81%,"19,925",-37.20%,"760,221",-14.60%
1/20/2021,"1,578,038",-70.90%,"921,371",-56.80%,"67,900",-78%,"50,000",-82%,"19,281",-40.80%,"712,711",-17.80%
1/19/2021,"1,639,243",-69.20%,"1,013,616",-51.20%,"72,600",-76%,"52,600",-81%,"21,049",-32.80%,"736,254",-14.90%
1/18/2021,"1,279,119",-59.90%,"766,926",-41.20%,"68,700",-77%,"31,900",-89%,"14,124",-9.70%,"689,251",-13.50%
1/17/2021,"798,564",-65.00%,"504,031",-46.60%,"24,200",-71%,"32,900",-69%,"9,880",-41.90%,"580,771",-17.30%
1/16/2021,"992,599",-61.70%,"645,625",-36.40%,"27,100",-72%,"43,400",-72%,"11,654",-17.40%,"631,135",-1.90%
1/15/2021,"1,630,098",-69.50%,"981,817",-51.70%,"70,200",-77%,"54,000",-81%,"21,819",-28.40%,"788,779",-17.20%
1/14/2021,"1,650,630",-70.10%,"1,017,757",-52.70%,"70,900",-77%,"52,500",-81%,"21,950",-30.90%,"754,071",-16.70%
1/13/2021,"1,644,812",-70.20%,"996,646",-55.30%,"70,600",-77%,"51,700",-81%,"22,720",-31.70%,"737,859",-16.70%
01/12/2021,"1,643,725",-69.70%,"997,279",-54.10%,"71,400",-76%,"52,100",-81%,"21,623",-32.60%,"730,831",-15.10%
01/11/2021,"1,571,330",-69.90%,"966,517",-55.40%,"72,300",-76%,"51,400",-82%,"21,089",-29.50%,"708,058",-16.40%
